SN,Name
1,अछाम
2,अर्घाखांची
3,इलाम
4,उदयपुर
5,ओखलढुंगा
6,कन्चनपुर
7,कपिलवस्तु
8,काठमाडौं
9,काभ्रेपलाञ्चोक
10,कालिकोट
11,कास्की
12,कैलाली
13,खोटाङ्ग
14,गुल्मी
15,गोरखा
16,चितवन
17,जाजरकोट
18,जुम्ला
19,झापा
20,डडेलधुरा
21,डोटी
22,डोल्पा
23,तनहुँ
24,ताप्लेजुंग
25,तेर्हथुम
26,दाङ
27,दार्चुला
28,दैलेख
29,दोलखा
30,धनकुटा
31,धनुषा
32,धादिंग
33,नवलपरासी
34,नुवाकोट
35,पर्वत
36,पर्सा
37,पाँचथर
38,पाल्पा
39,प्यूठान
40,बझाङ्ग
41,बर्दिया
42,बाँके
43,बागलुङ
44,बाजुरा
45,बारा
46,बैतडी
47,भक्तपुर
48,भोजपुर
49,मकवानपुर
50,मनाङ्ग
51,महोत्तरी
52,मुगु
53,मुस्तांग
54,मोरङ्ग
55,म्याग्दी
56,रसुवा
57,रामेछाप
58,रुकुम
59,रुपन्देही
60,रोल्पा
61,रौतहट
62,लमजुंग
63,ललितपुर
64,संखुवासभा
65,सप्तरी
66,सर्लाही
67,सल्यान
68,सिन्धुपाल्चोक
69,सिन्धुली
70,सिराहा
71,सुनसरी
72,सुर्खेत
73,सोलुखुम्बु
74,स्याङ्जा
75,हुम्ला
